SED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED10001,170,303,180,134,166,32,4,990,18,19,15,8,8,0,0,71,4,4,9,4,11,0,0,39,262,512,392,291,375,73,28,1939,13,46,28,25,25,5,0,153,31,64,27,19,12,0,0,153,53,108,49,47,36,5,0,300,315,621,445,335,419,80,28,2241,448,405,227,139,119,22,11,1371,8,8,12,7,3,0,0,43,778,1040,677,483,538,99,46,3660
SED10002,87,136,120,65,99,54,45,606,15,0,0,7,3,4,0,30,14,10,10,5,16,3,5,59,209,296,256,169,265,184,127,1510,14,15,13,8,15,15,5,86,16,32,23,17,26,9,5,129,34,45,32,24,41,23,14,215,239,341,291,196,310,208,134,1726,461,471,262,170,227,127,89,1803,8,5,3,3,3,3,0,21,702,819,560,361,533,341,225,3545
SED10003,143,338,252,176,252,57,5,1220,15,13,14,8,9,3,0,59,3,6,4,5,11,7,0,38,203,511,409,353,477,119,14,2087,4,15,14,17,23,5,0,83,18,44,26,22,19,10,0,139,26,66,41,38,41,13,3,218,226,571,445,385,520,135,17,2306,250,279,158,99,106,24,8,925,3,4,6,3,3,0,0,20,477,854,612,485,624,165,31,3247
SED10004,69,143,67,34,60,37,26,445,15,7,4,3,4,3,0,34,0,0,4,0,0,3,0,11,154,313,203,143,230,127,89,1254,3,16,11,6,11,3,0,45,3,13,10,9,10,3,4,46,3,21,22,16,18,3,4,89,159,337,224,160,248,131,92,1341,132,141,79,36,73,44,27,539,0,0,0,3,0,0,0,10,295,474,306,201,326,179,123,1894
SED10005,117,211,152,95,156,69,48,853,17,10,6,3,3,6,0,46,13,17,6,8,12,4,4,53,262,414,309,219,350,183,122,1861,14,38,32,21,23,14,13,145,18,63,50,41,33,25,10,244,32,98,78,60,54,38,15,384,297,515,388,276,405,220,142,2241,688,644,359,252,326,143,103,2505,11,27,13,12,0,0,0,71,1003,1180,759,533,733,368,241,4820
SED10006,184,309,185,120,135,14,0,947,27,15,7,4,5,0,0,64,11,12,6,15,12,0,0,66,312,543,364,268,316,45,6,1848,27,77,53,36,30,7,0,231,48,80,18,32,21,0,0,200,72,159,77,68,46,6,0,429,385,701,442,335,364,51,6,2279,821,650,326,193,171,22,0,2187,35,43,31,13,10,0,0,121,1240,1395,793,537,537,74,9,4590
SED10007,176,306,202,142,167,33,9,1037,24,15,14,0,10,0,0,55,4,12,6,4,10,0,0,33,285,557,403,290,414,95,17,2070,21,59,22,30,31,9,0,163,29,66,36,18,26,3,0,177,47,120,56,42,52,13,0,343,334,679,465,331,472,109,24,2409,534,402,213,136,148,21,8,1456,16,8,3,3,6,0,0,37,890,1093,682,470,618,133,28,3904
SED10008,57,121,77,68,103,52,34,510,5,4,4,3,6,4,0,21,0,4,4,0,6,3,0,23,129,296,232,172,298,162,89,1380,6,14,9,6,6,3,0,49,12,17,6,3,7,3,0,51,18,27,23,11,13,9,5,93,144,325,251,184,308,172,96,1473,90,106,73,36,60,45,23,432,3,3,0,0,3,0,0,16,232,431,324,219,374,224,117,1920
SED10009,115,336,204,148,191,25,7,1027,17,17,11,4,4,3,0,52,7,3,0,3,5,0,0,23,183,493,333,275,372,57,10,1723,6,34,18,10,21,7,0,105,32,38,17,14,6,0,0,100,41,77,32,23,29,7,0,206,227,571,372,299,399,62,10,1932,337,347,206,125,113,28,3,1154,3,10,5,3,3,0,0,23,563,917,583,428,516,84,9,3103
SED10010,120,225,149,93,134,58,25,804,24,20,14,3,11,4,0,78,7,8,8,7,5,0,0,42,281,489,348,256,382,190,89,2036,16,42,23,21,32,16,4,154,30,60,38,29,32,6,3,204,52,105,58,53,67,23,9,364,336,594,407,306,448,213,95,2402,568,483,295,203,189,66,49,1849,18,13,10,5,8,3,3,50,916,1089,711,517,640,281,149,4298
